category,section,key,ui_label,visibility,value_type,risk,apply_class,default_class,reset_policy,help_level,dependency_count,validator_ids,description_source,current_description,validation_text,dependency_text
Leistungsgrenzen & SOC-Schutz,Leistungsgrenzen,MAX_DISCHARGE_POWER_W,Max Entladeleistung,standard,int,Hoch,live_next_cycle,installation,none,RICH,3,,CONFIG_SCHEMA.description,"Maximale Leistung, mit der Zendure das Haus versorgen darf.",1–2400 W; MANUAL_FIXED_DISCHARGE_POWER_W und NIGHT_DISCHARGE_POWER_W dürfen den Wert nicht überschreiten,MANUAL_FIXED_DISCHARGE_POWER_W; NIGHT_DISCHARGE_POWER_W; inverseMaxPower (read-only); ZENDURE_BATTERY_CAPACITY_WH
Leistungsgrenzen & SOC-Schutz,SOC-Schutzfenster,MAX_SOC_PERCENT,Max Zendure SOC,standard,int,Hoch,live_next_cycle,installation,none,RICH,4,VAL-001|VAL-002|VAL-003|VAL-005,CONFIG_SCHEMA.description,Ab diesem SOC wird Ladung verhindert.,1–100 %; MIN_SOC_PERCENT < MAX_SOC_PERCENT; MANUAL_FIXED_CHARGE_TARGET_SOC darf nicht darüber liegen,MIN_SOC_PERCENT; MANUAL_FIXED_CHARGE_TARGET_SOC; HARVEST_HIGH_SMA_SOC_ENTER_PERCENT; HARVEST_SMA_FULL_SOC_PERCENT
Leistungsgrenzen & SOC-Schutz,SOC-Schutzfenster,MIN_SOC_PERCENT,Min Zendure SOC,standard,int,Hoch,live_next_cycle,installation,none,RICH,3,VAL-001|VAL-002|VAL-003|VAL-005,CONFIG_SCHEMA.description,Unterhalb dieses SOC wird Entladung verhindert.,0–99 %; MIN_SOC_PERCENT < MAX_SOC_PERCENT; MANUAL_FIXED_DISCHARGE_TARGET_SOC und NIGHT_DISCHARGE_STOP_SOC_PERCENT dürfen nicht darunter liegen,MAX_SOC_PERCENT; MANUAL_FIXED_DISCHARGE_TARGET_SOC; NIGHT_DISCHARGE_STOP_SOC_PERCENT
AUTO-Regelung,Kommandoauflösung & Stellruhe,MIN_COMMAND_CHANGE_W,Mindeständerung MQTT,expert,int,Hoch,live_next_cycle,product_default,default,RICH,3,,CONFIG_SCHEMA.description,"MQTT-Leistungsbefehle werden nur gesendet, wenn sich der Wert mindestens um diesen Betrag ändert. 0 deaktiviert die Optimierung.",0–500 W; nicht größer als MAX_POWER_STEP_W empfohlen; Abstimmung mit DEADBAND_W und Harvest-Entry-Schwellen,MAX_POWER_STEP_W; DEADBAND_W; REST_SURPLUS_MIN_EXPORT_W
AUTO-Regelung,Messwert-Glättung,MOVING_AVERAGE_SAMPLES,Mittelwertbildung,expert,int,Hoch,live_next_cycle,product_default,default,RICH,3,,CONFIG_SCHEMA.description,"Anzahl der Messwerte im gleitenden Mittelwert. Höher = ruhiger, aber träger.",1–60 Messwerte; >30 deutlich als träge warnen,INTERVAL_SECONDS; DEADBAND_W; SMOOTHING_FACTOR
AUTO-Regelung,Netzziel & Ladefreigabe,DEADBAND_W,Netz-Totzone um 0 W,standard,int,Hoch,live_next_cycle,product_default,default,RICH,4,,CONFIG_SCHEMA.description,"Bereich um 0 W Netzleistung, in dem die Leistung gehalten wird. Reduziert Pendeln und MQTT-Kommandos.","0–1000 W; wirksame normale Ladefreigabe ist max(DEADBAND_W, MIN_EFFECTIVE_SURPLUS_FOR_CHARGE_W)",MIN_EFFECTIVE_SURPLUS_FOR_CHARGE_W; MIN_COMMAND_CHANGE_W; CONTROL_GAIN; HARVEST_HIGH_SMA_SOC_ENABLED
AUTO-Regelung,Netzziel & Ladefreigabe,MIN_EFFECTIVE_SURPLUS_FOR_CHARGE_W,Mindestüberschuss für normale AUTO-Ladung,standard,int,Hoch,live_next_cycle,product_default,default,RICH,3,,CONFIG_SCHEMA.description,"Zendure lädt nur, wenn nach Zusatzbatterie-Abzug und Reserve mindestens dieser Überschuss übrig bleibt.","0–2000 W; wirksame normale Ladefreigabe ist max(DEADBAND_W, MIN_EFFECTIVE_SURPLUS_FOR_CHARGE_W)",DEADBAND_W; REST_SURPLUS_MIN_EXPORT_W; SECOND_BATTERY_STALE_BLOCK_CHARGE
AUTO-Regelung,Reaktionsgeschwindigkeit,MAX_POWER_STEP_W,Maximale Sollwertänderung je Zyklus,standard,int,Hoch,live_next_cycle,product_default,default,RICH,3,,CONFIG_SCHEMA.description,Maximale Änderung der Lade-/Entladeleistung pro Zyklus.,1–2400 W; MIN_COMMAND_CHANGE_W sollte nicht größer sein; Anzeige der nominalen und aktuell beobachteten W/s,INTERVAL_SECONDS; SMOOTHING_FACTOR; MIN_COMMAND_CHANGE_W
AUTO-Regelung,Reaktionsgeschwindigkeit,SMA_GUARD_RAMP_DOWN_W,Schrittweite beim Abbau einer AUTO-Ladung,expert,int,Hoch,live_next_cycle,product_default,default,RICH,4,,CONFIG_SCHEMA.description,"Schrittweite, mit der Zendure-Ladung reduziert wird, wenn der Cross-Charge-Schutz blockiert.",1–2400 W; Beziehung zu MAX_POWER_STEP_W deutlich anzeigen,MAX_POWER_STEP_W; SECOND_BATTERY_STALE_BLOCK_CHARGE; REST_SURPLUS_HARVEST_ENABLED; MODE_CHANGE_LOCK_SECONDS
AUTO-Regelung,Reglerberechnung,CONTROL_GAIN,Control Gain,expert,float,Hoch,live_next_cycle,product_default,default,RICH,3,,CONFIG_SCHEMA.description,"Reglerverstärkung. 0.30 bedeutet, dass nur 30 % der Abweichung pro Zyklus aufaddiert werden.","0,01–1,00; aggressive Kombination mit kleiner Totzone und großem Step warnen",DEADBAND_W; SMOOTHING_FACTOR; MAX_POWER_STEP_W
AUTO-Regelung,Reglerberechnung,SMOOTHING_FACTOR,Smoothing Factor,expert,float,Hoch,live_next_cycle,product_default,default,RICH,4,,CONFIG_SCHEMA.description,"Zusätzliche Glättung der Zielwerte. 1.0 reagiert sofort, kleinere Werte sind weicher.","0,01–1,00; 1,00 = ungeglättet; sehr hohe Werte zusammen mit kurzem Intervall und wenigen Mittelwerten warnen",CONTROL_GAIN; MAX_POWER_STEP_W; MOVING_AVERAGE_SAMPLES; INTERVAL_SECONDS
AUTO-Regelung,Zyklus & Ressourcen,INTERVAL_SECONDS,Regelintervall,expert,int,Hoch,live_next_cycle,product_default,default,RICH,4,,CONFIG_SCHEMA.description,"Zeit zwischen zwei Regelschritten. Kleinere Werte reagieren schneller, größere Werte laufen ruhiger.","1–30 s; actual cycle spacing = aktive Arbeit + Pause; Abhängigkeiten zu Moving Average, Step-Rate und Freshness anzeigen",MAX_POWER_STEP_W; MOVING_AVERAGE_SAMPLES; SOC_STALE_TIMEOUT_SECONDS; REST_SURPLUS_ENTRY_CONFIRM_SECONDS
Nachtbetrieb,Aktivierung,NIGHT_DISCHARGE_ENABLED,Nachtmodus aktiv,standard,bool,Hoch,live_next_cycle,safe_sentinel,default,RICH,7,,CONFIG_SCHEMA.description,Aktiviert eine feste Entladeleistung im konfigurierten Zeitfenster.,"Bei Aktivierung: gültiges Zeitfenster, Leistung >0, Leistung ≤ globales Entladelimit",NIGHT_START_HOUR; NIGHT_START_MINUTE; NIGHT_END_HOUR; NIGHT_END_MINUTE; NIGHT_DISCHARGE_POWER_W; NIGHT_DISCHARGE_STOP_SOC_PERCENT; MANUAL_MODE
Nachtbetrieb,Feste Basisentladung,NIGHT_DISCHARGE_POWER_W,Feste Nacht-Basisentladung,standard,int,Hoch,live_next_cycle,safe_sentinel,default,RICH,2,,CONFIG_SCHEMA.description,Feste Entladeleistung im Nachtmodus.,Bei aktiviertem Nachtbetrieb 1–2400 W und ≤ MAX_DISCHARGE_POWER_W; wirksames Ziel zusätzlich durch inverseMaxPower begrenzt,MAX_DISCHARGE_POWER_W; inverseMaxPower (read-only); MIN_COMMAND_CHANGE_W
Nachtbetrieb,Reserve & Folgeverhalten,NIGHT_DISCHARGE_STOP_SOC_PERCENT,Reserve-SOC für feste Nachtentladung,standard,optional_int,Hoch,live_next_cycle,auto_or_unset,clear,RICH,3,VAL-005,CONFIG_SCHEMA.description,"Optionaler Reserve-/Stop-SOC für die Nachtentladung. Leer lassen für bisheriges Verhalten. Wenn gesetzt, stoppt die Nachtentladung bei SOC kleiner/gleich diesem Wert. Steigt der SOC später wieder über diesen Wert, darf die Nachtentladung im selben Nachtfenster wieder laufen. Der Wert muss mindestens dem globalen Mindest-SOC entsprechen.",Leer oder MIN_SOC_PERCENT–100 %; unter globalem Min-SOC Fehler; über MAX_SOC_PERCENT Warnung,MIN_SOC_PERCENT; MAX_SOC_PERCENT; ZENDURE_BATTERY_CAPACITY_WH
Nachtbetrieb,Zeitfenster,NIGHT_END_HOUR,Ende Stunde,standard,int,Hoch,live_next_cycle,profile_preset,profile,RICH,3,VAL-004,CONFIG_SCHEMA.description,Endstunde des Nachtmodus.,UI als gemeinsames HH:MM-Feld; Start und Ende dürfen nicht identisch sein; Mitternachtsüberlauf ist zulässig,NIGHT_START_HOUR; NIGHT_START_MINUTE; NIGHT_END_HOUR; NIGHT_END_MINUTE
Nachtbetrieb,Zeitfenster,NIGHT_END_MINUTE,Ende Minute,standard,int,Hoch,live_next_cycle,profile_preset,profile,RICH,3,VAL-004,CONFIG_SCHEMA.description,Endminute des Nachtmodus. Wird in der Weboberfläche zusammen mit der Stunde als hh:mm-Feld dargestellt.,UI als gemeinsames HH:MM-Feld; Start und Ende dürfen nicht identisch sein; Mitternachtsüberlauf ist zulässig,NIGHT_START_HOUR; NIGHT_START_MINUTE; NIGHT_END_HOUR; NIGHT_END_MINUTE
Nachtbetrieb,Zeitfenster,NIGHT_START_HOUR,Start Stunde,standard,int,Hoch,live_next_cycle,profile_preset,profile,RICH,3,VAL-004,CONFIG_SCHEMA.description,Startstunde des Nachtmodus.,UI als gemeinsames HH:MM-Feld; Start und Ende dürfen nicht identisch sein; Mitternachtsüberlauf ist zulässig,NIGHT_START_HOUR; NIGHT_START_MINUTE; NIGHT_END_HOUR; NIGHT_END_MINUTE
Nachtbetrieb,Zeitfenster,NIGHT_START_MINUTE,Start Minute,standard,int,Hoch,live_next_cycle,profile_preset,profile,RICH,3,VAL-004,CONFIG_SCHEMA.description,Startminute des Nachtmodus.,UI als gemeinsames HH:MM-Feld; Start und Ende dürfen nicht identisch sein; Mitternachtsüberlauf ist zulässig,NIGHT_START_HOUR; NIGHT_START_MINUTE; NIGHT_END_HOUR; NIGHT_END_MINUTE
Primärspeicher & SMA,Freshness & Verfügbarkeit,SECOND_BATTERY_STALE_TIMEOUT_SECONDS,Daten-Timeout,expert,int,Hoch,live_next_cycle,product_default,default,BASE,5,,CONFIG_SCHEMA.description,"Nach dieser Zeit ohne Update auf einem konfigurierten Zusatzbatterie-MQTT-Topic gelten die Daten als veraltet. Je kleiner der Wert, desto schneller reagiert der Schutz auf fehlende Daten; je größer der Wert, desto toleranter ist das System gegenüber kurzen MQTT-Aussetzern.",5–600 s; kleiner als typischer Publishabstand blockieren,SECOND_BATTERY_STALE_BLOCK_CHARGE; REST_SURPLUS_HARVEST_ENABLED; SECOND_BATTERY_POWER_TOPIC; SECOND_BATTERY_SOC_TOPIC; SECOND_BATTERY_CAPACITY_TOPIC
Primärspeicher & SMA,Identität & Status,SECOND_BATTERY_DISPLAY_NAME,Zusatzbatterie Anzeigename,standard,string,Niedrig,live_next_cycle,installation,none,BASE,2,,CONFIG_SCHEMA.description,"Freier Anzeigename der externen Batterie auf Statusseite, Graph und CSV-Beschreibungen, z. B. SMA Sunny Island, Victron ESS oder Hausspeicher Keller.",Nicht leer empfohlen; keine Steuerwirkung,SECOND_BATTERY_SOURCE_PROFILE; CROSS_CHARGE_ENABLED
Primärspeicher & SMA,MQTT-Datenquelle,SECOND_BATTERY_SOURCE_PROFILE,Datenquellen-Profil,standard,enum,Hoch,live_next_cycle,profile_preset,profile,BASE,5,VAL-008,CONFIG_SCHEMA.description,"EVCC Standard ist eine Komfort-Vorlage: aus dem Basis-Topic werden /power, /soc und /capacity gebildet. Benutzerdefiniert erlaubt vollständig frei angegebene Einzel-Topics und optionale JSON-Feldpfade.",EVCC Standard | Benutzerdefiniert,SECOND_BATTERY_EVCC_BASE_TOPIC; SECOND_BATTERY_POWER_TOPIC; SECOND_BATTERY_SOC_TOPIC; SECOND_BATTERY_CAPACITY_TOPIC; CROSS_CHARGE_ENABLED
Primärspeicher & SMA,MQTT-Datenquelle · Benutzerdefiniert,SECOND_BATTERY_CAPACITY_TOPIC,Kapazitäts-Topic,expert,string,Mittel,live_next_cycle,profile_preset,profile,BASE,4,,CONFIG_SCHEMA.description,"Optionales MQTT-Topic für die Zusatzbatterie-Kapazität. Die Kapazität dient Anzeige und Diagnose, ist aber nicht zwingend für die Schutzentscheidung erforderlich.",Optional; keine Zielwertwirkung,SECOND_BATTERY_CAPACITY_PAYLOAD_TYPE; SECOND_BATTERY_CAPACITY_JSON_PATH; SECOND_BATTERY_CAPACITY_UNIT; HARVEST_CAPACITY_WEIGHTING_MODE
Primärspeicher & SMA,MQTT-Datenquelle · Benutzerdefiniert,SECOND_BATTERY_POWER_TOPIC,Leistungs-Topic,standard,string,Hoch,live_next_cycle,profile_preset,profile,BASE,5,VAL-008,CONFIG_SCHEMA.description,"Vollständiges MQTT-Topic der Zusatzbatterie-Leistung. Dieses Topic ist im benutzerdefinierten Profil Pflicht, weil der Cross-Charge-Schutz primär aus der Leistung erkennt, ob die Zusatzbatterie entlädt.",Bei Custom und aktiver Integration Pflicht; exaktes MQTT-Topic ohne + oder #,SECOND_BATTERY_SOURCE_PROFILE; SECOND_BATTERY_POWER_PAYLOAD_TYPE; SECOND_BATTERY_POWER_JSON_PATH; SECOND_BATTERY_POWER_UNIT; SECOND_BATTERY_DISCHARGE_SIGN
Primärspeicher & SMA,MQTT-Datenquelle · Benutzerdefiniert,SECOND_BATTERY_SOC_TOPIC,SOC-Topic,standard,string,Hoch,live_next_cycle,profile_preset,profile,BASE,3,VAL-008,CONFIG_SCHEMA.description,Optionales MQTT-Topic für den Ladezustand der Zusatzbatterie in Prozent. Der Schutz kann auch ohne SOC arbeiten; die Anzeige zeigt dann 'nicht konfiguriert'.,Optional für reinen Cross-Charge-/Near-Limit-Betrieb; bei HARVEST_HIGH_SMA_SOC_ENABLED im Custom-Profil Pflicht,HARVEST_HIGH_SMA_SOC_ENABLED; SECOND_BATTERY_SOC_PAYLOAD_TYPE; SECOND_BATTERY_SOC_JSON_PATH
Primärspeicher & SMA,MQTT-Datenquelle · EVCC Standard,SECOND_BATTERY_EVCC_BASE_TOPIC,EVCC Batterie-Basis-Topic,standard,string,Hoch,live_next_cycle,profile_preset,profile,BASE,2,,CONFIG_SCHEMA.description,"Basis-Topic der Zusatzbatterie bei EVCC-Standardstruktur, z. B. evcc/site/battery/devices/1. Daraus werden Leistung, SOC und Kapazität automatisch als /power, /soc und /capacity abgeleitet.",Nicht leer; exaktes MQTT-Topic ohne + oder #,SECOND_BATTERY_SOURCE_PROFILE; CROSS_CHARGE_ENABLED
Primärspeicher & SMA,MQTT-Payload · Benutzerdefiniert,SECOND_BATTERY_CAPACITY_JSON_PATH,Kapazität JSON-Feldpfad,expert,string,Hoch,live_next_cycle,profile_preset,profile,BASE,1,,CONFIG_SCHEMA.description,"Feldpfad innerhalb eines JSON-Payloads, z. B. capacity oder battery.capacity. Nur relevant, wenn Kapazitäts-Payload = JSON gewählt ist.",Bei Payloadformat JSON und konfiguriertem Topic Pflicht; Punktpfad ohne Leersegmente,SECOND_BATTERY_CAPACITY_PAYLOAD_TYPE
Primärspeicher & SMA,MQTT-Payload · Benutzerdefiniert,SECOND_BATTERY_CAPACITY_PAYLOAD_TYPE,Kapazitäts-Payload,expert,enum,Hoch,live_next_cycle,profile_preset,profile,BASE,2,,CONFIG_SCHEMA.description,"Gibt an, ob das Kapazitäts-Topic direkt eine Zahl enthält oder ein JSON-Objekt liefert.",number | json; JSON nur mit nichtleerem Feldpfad,SECOND_BATTERY_CAPACITY_TOPIC; SECOND_BATTERY_CAPACITY_JSON_PATH
Primärspeicher & SMA,MQTT-Payload · Benutzerdefiniert,SECOND_BATTERY_POWER_JSON_PATH,Leistung JSON-Feldpfad,expert,string,Hoch,live_next_cycle,profile_preset,profile,BASE,1,,CONFIG_SCHEMA.description,"Feldpfad innerhalb eines JSON-Payloads, z. B. power oder battery.power. Nur relevant, wenn Leistungs-Payload = JSON gewählt ist.",Bei Payloadformat JSON und konfiguriertem Topic Pflicht; Punktpfad ohne Leersegmente,SECOND_BATTERY_POWER_PAYLOAD_TYPE
Primärspeicher & SMA,MQTT-Payload · Benutzerdefiniert,SECOND_BATTERY_POWER_PAYLOAD_TYPE,Leistungs-Payload,expert,enum,Hoch,live_next_cycle,profile_preset,profile,BASE,2,,CONFIG_SCHEMA.description,"Gibt an, ob das Leistungs-Topic direkt eine Zahl enthält oder ein JSON-Objekt liefert.",number | json; JSON nur mit nichtleerem Feldpfad,SECOND_BATTERY_POWER_TOPIC; SECOND_BATTERY_POWER_JSON_PATH
Primärspeicher & SMA,MQTT-Payload · Benutzerdefiniert,SECOND_BATTERY_SOC_JSON_PATH,SOC JSON-Feldpfad,expert,string,Hoch,live_next_cycle,profile_preset,profile,BASE,1,,CONFIG_SCHEMA.description,"Feldpfad innerhalb eines JSON-Payloads, z. B. soc oder battery.soc. Nur relevant, wenn SOC-Payload = JSON gewählt ist.",Bei Payloadformat JSON und konfiguriertem Topic Pflicht; Punktpfad ohne Leersegmente,SECOND_BATTERY_SOC_PAYLOAD_TYPE
Primärspeicher & SMA,MQTT-Payload · Benutzerdefiniert,SECOND_BATTERY_SOC_PAYLOAD_TYPE,SOC-Payload,expert,enum,Hoch,live_next_cycle,profile_preset,profile,BASE,2,,CONFIG_SCHEMA.description,"Gibt an, ob das SOC-Topic direkt eine Zahl enthält oder ein JSON-Objekt liefert.",number | json; JSON nur mit nichtleerem Feldpfad,SECOND_BATTERY_SOC_TOPIC; SECOND_BATTERY_SOC_JSON_PATH
Primärspeicher & SMA,Normalisierung,SECOND_BATTERY_CAPACITY_UNIT,Kapazitätseinheit,expert,enum,Mittel,live_next_cycle,profile_preset,profile,BASE,1,,CONFIG_SCHEMA.description,Einheit des Kapazitätswerts der Zusatzbatterie. Die Statusseite zeigt den Wert in kWh an.,Wh | kWh,SECOND_BATTERY_CAPACITY_TOPIC
Primärspeicher & SMA,Normalisierung,SECOND_BATTERY_DISCHARGE_SIGN,Bedeutung des MQTT-Leistungsvorzeichens,standard,int,Sehr hoch,live_next_cycle,profile_preset,profile,BASE,4,,CONFIG_SCHEMA.description,"+1 bedeutet: positive MQTT-Leistung = Zusatzbatterie entlädt. -1 bedeutet: negative MQTT-Leistung = Zusatzbatterie entlädt. Die Statusanzeige normiert danach auf positiv = Ladung, negativ = Entladung.",+1 oder −1; Änderung nur mit Rohwert-/Richtungsvorschau,SECOND_BATTERY_POWER_TOPIC; SECOND_BATTERY_POWER_UNIT; CROSS_CHARGE_SIGNIFICANT_W; REST_SURPLUS_HARVEST_ENABLED
Primärspeicher & SMA,Normalisierung,SECOND_BATTERY_POWER_UNIT,Leistungseinheit,expert,enum,Hoch,live_next_cycle,profile_preset,profile,BASE,2,,CONFIG_SCHEMA.description,Einheit des Leistungswerts der Zusatzbatterie. Intern wird immer auf Watt normalisiert.,W | kW,SECOND_BATTERY_POWER_TOPIC; SECOND_BATTERY_DISCHARGE_SIGN
Primärspeicher & SMA,Technische Leistungsdaten,SECOND_BATTERY_MAX_CHARGE_POWER_W,Maximale Ladeleistung Primärspeicher,standard,optional_int,Hoch,live_next_cycle,installation,none,BASE,7,VAL-009|VAL-011,CONFIG_SCHEMA.description,Maximale Ladeleistung des Primärspeichers bzw. der Zweitbatterie. Dieser Wert steht meist im Datenblatt des Wechselrichters/Batteriesystems. Leer bedeutet: Restüberschuss-Ernte bleibt nicht wirksam. Für SMA Sunny Island 3.0M-11 sind aus ZEC-Sicht 2300 W passend.,"Leer zulässig, solange Harvest aus; bei Harvest 300–10.000 W Pflicht. Alle absoluten Floor-/Restart-/Near-Limit-Werte ≤ Maximum",REST_SURPLUS_HARVEST_ENABLED; HARVEST_PRIMARY_CHARGE_FLOOR_RATIO; HARVEST_PRIMARY_CHARGE_FLOOR_W; HARVEST_PRIMARY_CHARGE_RESTART_RATIO; HARVEST_PRIMARY_CHARGE_RESTART_W; HARVEST_PRIMARY_CHARGE_NEAR_LIMIT_RATIO; HARVEST_PRIMARY_CHARGE_NEAR_LIMIT_W
Harvest / Restüberschuss,Entry & Hysterese,HARVEST_HIGH_SMA_SOC_ENTRY_CONFIRM_SECONDS,High-SOC Eintritt bestätigen,expert,int,Hoch,live_next_cycle,profile_preset,profile,RICH,2,,validation_text,1–300 s; Zeitprofilabhängigkeit sichtbar machen,1–300 s; Zeitprofilabhängigkeit sichtbar machen,HARVEST_HIGH_SMA_SOC_TIME_PROFILE_ENABLED; INTERVAL_SECONDS
Harvest / Restüberschuss,Entry & Hysterese,HARVEST_HIGH_SMA_SOC_HOLD_SECONDS,High-SOC Haltezeit,expert,int,Hoch,live_next_cycle,profile_preset,profile,RICH,2,,validation_text,0–3600 s; nicht als maximale Aktivdauer beschreiben,0–3600 s; nicht als maximale Aktivdauer beschreiben,HARVEST_HIGH_SMA_SOC_EXIT_PERCENT; INTERVAL_SECONDS
